run_id,exp_name,dataset,seed,stage,checkpoint_epoch,path_family,clock_family,clock_param_name,clock_param_value,solver,nfe,step_count,real_samples,synthetic_samples,metric,value,status,artifact_group,strategy_id,model_output_type,time_sampling_strategy,mixed_lambda,stratified_bins,solver_aware_clock_mode,solver_aware_target_solver,solver_aware_monitor_solver,solver_aware_k,solver_aware_monitor_estimator,solver_aware_eps,solver_aware_use_nodes,node_family,monitor_source_checkpoint,monitor_grid_size,solver_aware_monitor_batch_size,solver_aware_theorem_backed
linear_uniform_heun2_solver_aware:ep499:nfe30:fid,linear_uniform_heun2_solver_aware,cifar10,0,eval,499,linear,uniform,none,,heun2,30,15,12500,12500,fid,7.638128757476807,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,heun2,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_heun2_solver_aware:ep499:nfe48:fid,linear_uniform_heun2_solver_aware,cifar10,0,eval,499,linear,uniform,none,,heun2,48,24,12500,12500,fid,7.001443386077881,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,heun2,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_heun2_solver_aware:ep499:nfe96:fid,linear_uniform_heun2_solver_aware,cifar10,0,eval,499,linear,uniform,none,,heun2,96,48,12500,12500,fid,6.774020671844482,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,heun2,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_stork4_solver_aware:ep499:nfe6:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,6,6,12500,12500,fid,22.65680503845215,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
linear_uniform_stork4_solver_aware:ep499:nfe8:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,8,8,12500,12500,fid,13.634781837463379,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
linear_uniform_stork4_solver_aware:ep499:nfe10:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,10,10,12500,12500,fid,10.470515251159668,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
linear_uniform_stork4_solver_aware:ep499:nfe12:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,12,12,12500,12500,fid,9.041275978088379,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
linear_uniform_stork4_solver_aware:ep499:nfe18:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,18,18,12500,12500,fid,7.521208763122559,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
linear_uniform_stork4_solver_aware:ep499:nfe20:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,20,20,12500,12500,fid,7.325112819671631,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
linear_uniform_stork4_solver_aware:ep499:nfe24:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,24,24,12500,12500,fid,7.075913429260254,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
linear_uniform_stork4_solver_aware:ep499:nfe30:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,30,30,12500,12500,fid,6.8993682861328125,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
linear_uniform_stork4_solver_aware:ep499:nfe48:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,48,48,12500,12500,fid,6.745410442352295,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
