run_id,exp_name,dataset,seed,stage,checkpoint_epoch,path_family,clock_family,clock_param_name,clock_param_value,solver,nfe,step_count,real_samples,synthetic_samples,metric,value,status,artifact_group,strategy_id,model_output_type,time_sampling_strategy,mixed_lambda,stratified_bins,solver_aware_clock_mode,solver_aware_target_solver,solver_aware_monitor_solver,solver_aware_k,solver_aware_monitor_estimator,solver_aware_eps,solver_aware_use_nodes,node_family,monitor_source_checkpoint,monitor_grid_size,solver_aware_monitor_batch_size,solver_aware_theorem_backed
linear_uniform_heun2_baseline:ep499:nfe24:fid,linear_uniform_heun2_baseline,cifar10,0,eval,499,linear,uniform,none,,heun2,24,12,12500,12500,fid,23.672067642211914,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,off,,,0,,,False,uniform,,,,
linear_uniform_heun2_baseline:ep499:nfe30:fid,linear_uniform_heun2_baseline,cifar10,0,eval,499,linear,uniform,none,,heun2,30,15,12500,12500,fid,17.29123306274414,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,off,,,0,,,False,uniform,,,,
linear_uniform_heun2_baseline:ep499:nfe48:fid,linear_uniform_heun2_baseline,cifar10,0,eval,499,linear,uniform,none,,heun2,48,24,12500,12500,fid,9.749537467956543,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,off,,,0,,,False,uniform,,,,
linear_uniform_heun2_baseline:ep499:nfe96:fid,linear_uniform_heun2_baseline,cifar10,0,eval,499,linear,uniform,none,,heun2,96,48,12500,12500,fid,6.871342182159424,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,off,,,0,,,False,uniform,,,,
linear_uniform_euler_solver_aware:ep499:nfe6:fid,linear_uniform_euler_solver_aware,cifar10,0,eval,499,linear,uniform,none,,euler,6,6,12500,12500,fid,37.507511138916016,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,euler,euler,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_euler_solver_aware:ep499:nfe12:fid,linear_uniform_euler_solver_aware,cifar10,0,eval,499,linear,uniform,none,,euler,12,12,12500,12500,fid,15.583573341369629,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,euler,euler,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_euler_solver_aware:ep499:nfe18:fid,linear_uniform_euler_solver_aware,cifar10,0,eval,499,linear,uniform,none,,euler,18,18,12500,12500,fid,11.263411521911621,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,euler,euler,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_euler_solver_aware:ep499:nfe24:fid,linear_uniform_euler_solver_aware,cifar10,0,eval,499,linear,uniform,none,,euler,24,24,12500,12500,fid,9.598340034484863,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,euler,euler,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_euler_solver_aware:ep499:nfe30:fid,linear_uniform_euler_solver_aware,cifar10,0,eval,499,linear,uniform,none,,euler,30,30,12500,12500,fid,8.770038604736328,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,euler,euler,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_euler_solver_aware:ep499:nfe48:fid,linear_uniform_euler_solver_aware,cifar10,0,eval,499,linear,uniform,none,,euler,48,48,12500,12500,fid,7.72051477432251,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,euler,euler,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_euler_solver_aware:ep499:nfe96:fid,linear_uniform_euler_solver_aware,cifar10,0,eval,499,linear,uniform,none,,euler,96,96,12500,12500,fid,7.097676753997803,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,euler,euler,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_heun2_solver_aware:ep499:nfe6:fid,linear_uniform_heun2_solver_aware,cifar10,0,eval,499,linear,uniform,none,,heun2,6,3,12500,12500,fid,110.23043060302734,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,heun2,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_heun2_solver_aware:ep499:nfe12:fid,linear_uniform_heun2_solver_aware,cifar10,0,eval,499,linear,uniform,none,,heun2,12,6,12500,12500,fid,20.470359802246094,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,heun2,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_heun2_solver_aware:ep499:nfe18:fid,linear_uniform_heun2_solver_aware,cifar10,0,eval,499,linear,uniform,none,,heun2,18,9,12500,12500,fid,10.78895378112793,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,heun2,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_heun2_solver_aware:ep499:nfe24:fid,linear_uniform_heun2_solver_aware,cifar10,0,eval,499,linear,uniform,none,,heun2,24,12,12500,12500,fid,8.430285453796387,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,heun2,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_heun2_solver_aware:ep499:nfe30:fid,linear_uniform_heun2_solver_aware,cifar10,0,eval,499,linear,uniform,none,,heun2,30,15,12500,12500,fid,7.638581275939941,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,heun2,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_heun2_solver_aware:ep499:nfe48:fid,linear_uniform_heun2_solver_aware,cifar10,0,eval,499,linear,uniform,none,,heun2,48,24,12500,12500,fid,7.001337051391602,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,heun2,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_heun2_solver_aware:ep499:nfe96:fid,linear_uniform_heun2_solver_aware,cifar10,0,eval,499,linear,uniform,none,,heun2,96,48,12500,12500,fid,6.773813247680664,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,heun2,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,true
linear_uniform_stork4_solver_aware:ep499:nfe6:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,6,6,12500,12500,fid,22.640554428100586,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
linear_uniform_stork4_solver_aware:ep499:nfe8:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,8,8,12500,12500,fid,13.623077392578125,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
linear_uniform_stork4_solver_aware:ep499:nfe10:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,10,10,12500,12500,fid,10.464472770690918,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
linear_uniform_stork4_solver_aware:ep499:nfe12:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,12,12,12500,12500,fid,9.039046287536621,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
linear_uniform_stork4_solver_aware:ep499:nfe18:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,18,18,12500,12500,fid,7.519868850708008,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
linear_uniform_stork4_solver_aware:ep499:nfe20:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,20,20,12500,12500,fid,7.323421001434326,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
linear_uniform_stork4_solver_aware:ep499:nfe24:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,24,24,12500,12500,fid,7.074970722198486,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
linear_uniform_stork4_solver_aware:ep499:nfe30:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,30,30,12500,12500,fid,6.897581577301025,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
linear_uniform_stork4_solver_aware:ep499:nfe48:fid,linear_uniform_stork4_solver_aware,cifar10,0,eval,499,linear,uniform,none,,stork4,48,48,12500,12500,fid,6.7457075119018555,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,training_free,stork4,heun2,0,auto,1e-06,true,solver_aware,/home/gwx/flow_matching/experiments/results/ft_clock_solver_aware_training_free_linear_uniform/cifar10/linear_uniform_euler_baseline/checkpoint-499.pth,65,64,false
linear_uniform_stork4_baseline:ep499:nfe6:fid,linear_uniform_stork4_baseline,cifar10,0,eval,499,linear,uniform,none,,stork4,6,6,12500,12500,fid,16.506145477294922,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,off,,,0,,,False,uniform,,,,
linear_uniform_stork4_baseline:ep499:nfe8:fid,linear_uniform_stork4_baseline,cifar10,0,eval,499,linear,uniform,none,,stork4,8,8,12500,12500,fid,12.032033920288086,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,off,,,0,,,False,uniform,,,,
linear_uniform_stork4_baseline:ep499:nfe10:fid,linear_uniform_stork4_baseline,cifar10,0,eval,499,linear,uniform,none,,stork4,10,10,12500,12500,fid,10.371820449829102,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,off,,,0,,,False,uniform,,,,
linear_uniform_stork4_baseline:ep499:nfe12:fid,linear_uniform_stork4_baseline,cifar10,0,eval,499,linear,uniform,none,,stork4,12,12,12500,12500,fid,9.50654125213623,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,off,,,0,,,False,uniform,,,,
linear_uniform_stork4_baseline:ep499:nfe18:fid,linear_uniform_stork4_baseline,cifar10,0,eval,499,linear,uniform,none,,stork4,18,18,12500,12500,fid,8.244911193847656,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,off,,,0,,,False,uniform,,,,
linear_uniform_stork4_baseline:ep499:nfe20:fid,linear_uniform_stork4_baseline,cifar10,0,eval,499,linear,uniform,none,,stork4,20,20,12500,12500,fid,8.01744556427002,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,off,,,0,,,False,uniform,,,,
linear_uniform_stork4_baseline:ep499:nfe24:fid,linear_uniform_stork4_baseline,cifar10,0,eval,499,linear,uniform,none,,stork4,24,24,12500,12500,fid,7.719930648803711,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,off,,,0,,,False,uniform,,,,
linear_uniform_stork4_baseline:ep499:nfe30:fid,linear_uniform_stork4_baseline,cifar10,0,eval,499,linear,uniform,none,,stork4,30,30,12500,12500,fid,7.421674728393555,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,off,,,0,,,False,uniform,,,,
linear_uniform_stork4_baseline:ep499:nfe48:fid,linear_uniform_stork4_baseline,cifar10,0,eval,499,linear,uniform,none,,stork4,48,48,12500,12500,fid,7.032994747161865,completed,ft_clock_solver_aware_training_free_linear_uniform,B,base_velocity,ds_dr_sq,0.5,16,off,,,0,,,False,uniform,,,,
