exp_name,dataset,alpha,lambda_scale,epoch,nfe,fid,status
fteqm_0.10,cifar10,0.1,auto,799,4,182.87864685058594,completed
fteqm_0.10,cifar10,0.1,auto,799,10,98.34940338134766,completed
fteqm_0.10,cifar10,0.1,auto,799,20,65.30626678466797,completed
fteqm_0.10,cifar10,0.1,auto,799,50,35.835060119628906,completed
fteqm_0.10,cifar10,0.1,auto,799,100,19.622465133666992,completed
fteqm_0.10,cifar10,0.1,auto,899,4,173.239990234375,completed
fteqm_0.10,cifar10,0.1,auto,899,10,85.16010284423828,completed
fteqm_0.10,cifar10,0.1,auto,899,20,54.39631271362305,completed
fteqm_0.10,cifar10,0.1,auto,899,50,29.018341064453125,completed
fteqm_0.10,cifar10,0.1,auto,899,100,16.175540924072266,completed
fteqm_0.20,cifar10,0.2,auto,99,4,160.08433532714844,completed
fteqm_0.20,cifar10,0.2,auto,99,10,76.14067840576172,completed
fteqm_0.20,cifar10,0.2,auto,99,20,41.80342483520508,completed
fteqm_0.20,cifar10,0.2,auto,99,50,19.457056045532227,completed
fteqm_0.20,cifar10,0.2,auto,99,100,19.91426658630371,completed
fteqm_0.20,cifar10,0.2,auto,199,4,162.6090087890625,completed
fteqm_0.20,cifar10,0.2,auto,199,10,81.32987213134766,completed
fteqm_0.20,cifar10,0.2,auto,199,20,52.789649963378906,completed
fteqm_0.20,cifar10,0.2,auto,199,50,31.16065788269043,completed
fteqm_0.20,cifar10,0.2,auto,199,100,22.086769104003906,completed
fteqm_0.20,cifar10,0.2,auto,299,4,145.9833526611328,completed
fteqm_0.20,cifar10,0.2,auto,299,10,59.20021438598633,completed
fteqm_0.20,cifar10,0.2,auto,299,20,29.390575408935547,completed
fteqm_0.20,cifar10,0.2,auto,299,50,10.534591674804688,completed
fteqm_0.20,cifar10,0.2,auto,299,100,10.337746620178223,completed
fteqm_0.20,cifar10,0.2,auto,399,4,153.44381713867188,completed
fteqm_0.20,cifar10,0.2,auto,399,10,69.94392395019531,completed
fteqm_0.20,cifar10,0.2,auto,399,20,41.90196228027344,completed
fteqm_0.20,cifar10,0.2,auto,399,50,19.864742279052734,completed
fteqm_0.20,cifar10,0.2,auto,399,100,10.937758445739746,completed
fteqm_0.20,cifar10,0.2,auto,499,4,163.9341583251953,completed
fteqm_0.20,cifar10,0.2,auto,499,10,79.27748107910156,completed
fteqm_0.20,cifar10,0.2,auto,499,20,50.146446228027344,completed
fteqm_0.20,cifar10,0.2,auto,499,50,27.82954216003418,completed
fteqm_0.20,cifar10,0.2,auto,499,100,18.653894424438477,completed
fteqm_0.20,cifar10,0.2,auto,599,4,134.8833465576172,completed
fteqm_0.20,cifar10,0.2,auto,599,10,55.55460739135742,completed
fteqm_0.20,cifar10,0.2,auto,599,20,30.120033264160156,completed
fteqm_0.20,cifar10,0.2,auto,599,50,11.564577102661133,completed
fteqm_0.20,cifar10,0.2,auto,599,100,5.883546352386475,completed
fteqm_0.20,cifar10,0.2,auto,699,4,145.36468505859375,completed
fteqm_0.20,cifar10,0.2,auto,699,10,64.68281555175781,completed
fteqm_0.20,cifar10,0.2,auto,699,20,38.14259338378906,completed
fteqm_0.20,cifar10,0.2,auto,699,50,18.401277542114258,completed
fteqm_0.20,cifar10,0.2,auto,699,100,10.55748176574707,completed
fteqm_0.20,cifar10,0.2,auto,799,4,138.10369873046875,completed
fteqm_0.20,cifar10,0.2,auto,799,10,58.035247802734375,completed
fteqm_0.20,cifar10,0.2,auto,799,20,30.1927433013916,completed
fteqm_0.20,cifar10,0.2,auto,799,50,10.060734748840332,completed
fteqm_0.20,cifar10,0.2,auto,799,100,5.704700469970703,completed
fteqm_0.20,cifar10,0.2,auto,899,4,144.24855041503906,completed
fteqm_0.20,cifar10,0.2,auto,899,10,62.714935302734375,completed
fteqm_0.20,cifar10,0.2,auto,899,20,35.871395111083984,completed
fteqm_0.20,cifar10,0.2,auto,899,50,14.79671859741211,completed
fteqm_0.20,cifar10,0.2,auto,899,100,7.011161804199219,completed
fteqm_0.30,cifar10,0.3,auto,99,4,113.68737030029297,completed
fteqm_0.30,cifar10,0.3,auto,99,10,34.028926849365234,completed
fteqm_0.30,cifar10,0.3,auto,99,20,15.849004745483398,completed
fteqm_0.30,cifar10,0.3,auto,99,50,16.312458038330078,completed
fteqm_0.30,cifar10,0.3,auto,99,100,14.957181930541992,completed
fteqm_0.30,cifar10,0.3,auto,199,4,117.15528869628906,completed
fteqm_0.30,cifar10,0.3,auto,199,10,42.542022705078125,completed
fteqm_0.30,cifar10,0.3,auto,199,20,21.54242515563965,completed
fteqm_0.30,cifar10,0.3,auto,199,50,11.431105613708496,completed
fteqm_0.30,cifar10,0.3,auto,199,100,10.769939422607422,completed
fteqm_0.30,cifar10,0.3,auto,299,4,111.44026947021484,completed
fteqm_0.30,cifar10,0.3,auto,299,10,34.83102798461914,completed
fteqm_0.30,cifar10,0.3,auto,299,20,15.38187313079834,completed
fteqm_0.30,cifar10,0.3,auto,299,50,8.734235763549805,completed
fteqm_0.30,cifar10,0.3,auto,299,100,9.325512886047363,completed
fteqm_0.30,cifar10,0.3,auto,399,4,104.13554382324219,completed
fteqm_0.30,cifar10,0.3,auto,399,10,27.134849548339844,completed
fteqm_0.30,cifar10,0.3,auto,399,20,10.727432250976562,completed
