run_id,exp_name,dataset,seed,stage,checkpoint_epoch,path_family,clock_family,clock_param_name,clock_param_value,solver,nfe,step_count,real_samples,synthetic_samples,metric,value,status,artifact_group
linear_ft_beta_0_3_euler:ep499:nfe4:is_std,linear_ft_beta_0_3_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,euler,4,4,12500,12500,is_std,0.017291447147727013,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_euler:ep499:nfe10:fid,linear_ft_beta_0_3_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,euler,10,10,12500,12500,fid,99.35520935058594,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_euler:ep499:nfe10:is_mean,linear_ft_beta_0_3_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,euler,10,10,12500,12500,is_mean,5.992181777954102,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_euler:ep499:nfe10:is_std,linear_ft_beta_0_3_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,euler,10,10,12500,12500,is_std,0.08375517278909683,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_euler:ep499:nfe20:fid,linear_ft_beta_0_3_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,euler,20,20,12500,12500,fid,57.34494400024414,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_euler:ep499:nfe20:is_mean,linear_ft_beta_0_3_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,euler,20,20,12500,12500,is_mean,8.226897239685059,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_euler:ep499:nfe20:is_std,linear_ft_beta_0_3_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,euler,20,20,12500,12500,is_std,0.10092440247535706,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_euler:ep499:nfe50:fid,linear_ft_beta_0_3_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,euler,50,50,12500,12500,fid,24.374282836914062,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_euler:ep499:nfe50:is_mean,linear_ft_beta_0_3_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,euler,50,50,12500,12500,is_mean,9.228692054748535,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_euler:ep499:nfe50:is_std,linear_ft_beta_0_3_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,euler,50,50,12500,12500,is_std,0.11092263460159302,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_heun2:ep499:nfe4:fid,linear_ft_beta_0_3_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,4,2,12500,12500,fid,163.33181762695312,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_heun2:ep499:nfe4:is_mean,linear_ft_beta_0_3_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,4,2,12500,12500,is_mean,3.1505658626556396,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_heun2:ep499:nfe4:is_std,linear_ft_beta_0_3_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,4,2,12500,12500,is_std,0.047413554042577744,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_heun2:ep499:nfe10:fid,linear_ft_beta_0_3_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,10,5,12500,12500,fid,10.670350074768066,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_heun2:ep499:nfe10:is_mean,linear_ft_beta_0_3_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,10,5,12500,12500,is_mean,8.677023887634277,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_heun2:ep499:nfe10:is_std,linear_ft_beta_0_3_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,10,5,12500,12500,is_std,0.15523910522460938,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_heun2:ep499:nfe20:fid,linear_ft_beta_0_3_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,20,10,12500,12500,fid,7.629848957061768,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_heun2:ep499:nfe20:is_mean,linear_ft_beta_0_3_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,20,10,12500,12500,is_mean,8.651103019714355,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_heun2:ep499:nfe20:is_std,linear_ft_beta_0_3_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,20,10,12500,12500,is_std,0.07953760027885437,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_heun2:ep499:nfe50:fid,linear_ft_beta_0_3_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,50,25,12500,12500,fid,6.779453277587891,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_heun2:ep499:nfe50:is_mean,linear_ft_beta_0_3_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,50,25,12500,12500,is_mean,8.900031089782715,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_3_heun2:ep499:nfe50:is_std,linear_ft_beta_0_3_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.3,heun2,50,25,12500,12500,is_std,0.0833463966846466,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_euler:ep499:nfe4:fid,linear_ft_beta_0_5_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,euler,4,4,12500,12500,fid,58.444419860839844,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_euler:ep499:nfe4:is_mean,linear_ft_beta_0_5_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,euler,4,4,12500,12500,is_mean,5.955794811248779,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_euler:ep499:nfe4:is_std,linear_ft_beta_0_5_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,euler,4,4,12500,12500,is_std,0.05662720277905464,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_euler:ep499:nfe10:fid,linear_ft_beta_0_5_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,euler,10,10,12500,12500,fid,18.898204803466797,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_euler:ep499:nfe10:is_mean,linear_ft_beta_0_5_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,euler,10,10,12500,12500,is_mean,7.96603536605835,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_euler:ep499:nfe10:is_std,linear_ft_beta_0_5_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,euler,10,10,12500,12500,is_std,0.15278437733650208,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_euler:ep499:nfe20:fid,linear_ft_beta_0_5_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,euler,20,20,12500,12500,fid,12.188729286193848,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_euler:ep499:nfe20:is_mean,linear_ft_beta_0_5_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,euler,20,20,12500,12500,is_mean,8.354146957397461,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_euler:ep499:nfe20:is_std,linear_ft_beta_0_5_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,euler,20,20,12500,12500,is_std,0.1621754914522171,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_euler:ep499:nfe50:fid,linear_ft_beta_0_5_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,euler,50,50,12500,12500,fid,8.736958503723145,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_euler:ep499:nfe50:is_mean,linear_ft_beta_0_5_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,euler,50,50,12500,12500,is_mean,8.578208923339844,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_euler:ep499:nfe50:is_std,linear_ft_beta_0_5_euler,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,euler,50,50,12500,12500,is_std,0.13111455738544464,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_heun2:ep499:nfe4:fid,linear_ft_beta_0_5_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,heun2,4,2,12500,12500,fid,286.3195495605469,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_heun2:ep499:nfe4:is_mean,linear_ft_beta_0_5_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,heun2,4,2,12500,12500,is_mean,1.8567441701889038,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_heun2:ep499:nfe4:is_std,linear_ft_beta_0_5_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,heun2,4,2,12500,12500,is_std,0.011712860316038132,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_heun2:ep499:nfe10:fid,linear_ft_beta_0_5_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,heun2,10,5,12500,12500,fid,87.11152648925781,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_heun2:ep499:nfe10:is_mean,linear_ft_beta_0_5_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,heun2,10,5,12500,12500,is_mean,6.36877965927124,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_heun2:ep499:nfe10:is_std,linear_ft_beta_0_5_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,heun2,10,5,12500,12500,is_std,0.06096886843442917,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_heun2:ep499:nfe20:fid,linear_ft_beta_0_5_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,heun2,20,10,12500,12500,fid,38.81084060668945,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_heun2:ep499:nfe20:is_mean,linear_ft_beta_0_5_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,heun2,20,10,12500,12500,is_mean,8.8731050491333,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_heun2:ep499:nfe20:is_std,linear_ft_beta_0_5_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,heun2,20,10,12500,12500,is_std,0.13778384029865265,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_heun2:ep499:nfe50:fid,linear_ft_beta_0_5_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,heun2,50,25,12500,12500,fid,11.945921897888184,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_heun2:ep499:nfe50:is_mean,linear_ft_beta_0_5_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,heun2,50,25,12500,12500,is_mean,9.29766845703125,completed,ft_clock_solver_sensitivity
linear_ft_beta_0_5_heun2:ep499:nfe50:is_std,linear_ft_beta_0_5_heun2,cifar10,0,eval,499,linear,ft_linear_beta,beta,0.5,heun2,50,25,12500,12500,is_std,0.09993531554937363,completed,ft_clock_solver_sensitivity
